"","komitet","procent"
"1","Liczba wyborców",979
"2","Liczba kart oddanych",528
"3","Liczba głosów ważnych",391
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",56.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.46
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",5.63
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.3
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.77
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.26
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.26
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.26
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.26
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.26
