"","komitet","procent"
"1","Liczba wyborców",1769
"2","Liczba kart oddanych",972
"3","Liczba głosów ważnych",938
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.45
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.56
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.88
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.96
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.21
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.75
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.09
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.85
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.21
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.17
