"","komitet","procent"
"1","Liczba wyborców",845
"2","Liczba kart oddanych",441
"3","Liczba głosów ważnych",413
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6.3
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.56
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",34.38
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.46
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.24
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.21
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.24
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.24
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.45
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.45
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.97
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.48
