"","komitet","procent"
"1","Liczba wyborców",1255
"2","Liczba kart oddanych",668
"3","Liczba głosów ważnych",511
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",66.34
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.78
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.85
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.05
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.78
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.39
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.39
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.2
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.2
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.2
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.2
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.98
