"","komitet","procent"
"1","Liczba wyborców",1230
"2","Liczba kart oddanych",435
"3","Liczba głosów ważnych",367
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",20.98
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.54
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.62
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.82
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",3
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.54
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.82
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.91
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.09
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.36
