"","komitet","procent"
"1","Liczba wyborców",936
"2","Liczba kart oddanych",437
"3","Liczba głosów ważnych",374
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",63.1
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.07
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.42
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.78
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.8
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.6
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.6
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.53
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.27
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.27
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.8
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.53
