"","komitet","procent"
"1","Liczba wyborców",2085
"2","Liczba kart oddanych",1009
"3","Liczba głosów ważnych",985
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",29.34
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.13
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.51
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.16
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.15
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.3
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.81
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.05
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.1
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.83
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.71
