"","komitet","procent"
"1","Liczba wyborców",1784
"2","Liczba kart oddanych",783
"3","Liczba głosów ważnych",743
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.51
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.23
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.94
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.36
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.75
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.27
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.13
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.54
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.94
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.08
