"","komitet","procent"
"1","Liczba wyborców",2195
"2","Liczba kart oddanych",1218
"3","Liczba głosów ważnych",1149
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.92
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.44
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",52.39
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.2
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.04
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.52
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.39
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.26
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.83
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.35
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.31
