"","komitet","procent"
"1","Liczba wyborców",1678
"2","Liczba kart oddanych",882
"3","Liczba głosów ważnych",830
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.7
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.69
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.84
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.48
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.18
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.48
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.33
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.84
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.08
