"","komitet","procent"
"1","Liczba wyborców",2231
"2","Liczba kart oddanych",1067
"3","Liczba głosów ważnych",1036
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.85
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.15
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.1
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",54.54
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.88
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.29
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.58
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.99
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.86
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.16
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.97
