"","komitet","procent"
"1","Liczba wyborców",90
"2","Liczba kart oddanych",14
"3","Liczba głosów ważnych",14
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",0
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",0
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",7.14
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.71
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",42.86
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",7.14
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",7.14
