"","komitet","procent"
"1","Liczba wyborców",1932
"2","Liczba kart oddanych",685
"3","Liczba głosów ważnych",685
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",41.02
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.88
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",15.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.47
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.15
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.02
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.02
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.02
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.88
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.29
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.58
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.44
