"","komitet","procent"
"1","Liczba wyborców",2026
"2","Liczba kart oddanych",896
"3","Liczba głosów ważnych",735
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.65
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",27.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.14
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",18.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.48
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.68
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.9
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.82
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.63
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.04
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.54
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.68
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.36
