"","komitet","procent"
"1","Liczba wyborców",1267
"2","Liczba kart oddanych",765
"3","Liczba głosów ważnych",734
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.63
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.77
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.41
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",53.27
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.34
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.04
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.14
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",7.49
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.54
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.14
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.54
