"","komitet","procent"
"1","Liczba wyborców",891
"2","Liczba kart oddanych",449
"3","Liczba głosów ważnych",377
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.16
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",44.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",26.53
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.47
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.8
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.8
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.06
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.27
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.12
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.27
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.59
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.06
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0.8
