"","komitet","procent"
"1","Liczba wyborców",2135
"2","Liczba kart oddanych",1033
"3","Liczba głosów ważnych",965
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.76
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.11
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.93
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.28
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.52
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.1
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.31
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.7
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.41
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.76
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.21
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.1
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.14
