"","komitet","procent"
"1","Liczba wyborców",917
"2","Liczba kart oddanych",533
"3","Liczba głosów ważnych",376
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.4
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",39.36
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.31
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.88
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.27
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.53
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.86
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.93
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.06
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.53
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.27
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.53
