"","komitet","procent"
"1","Liczba wyborców",739
"2","Liczba kart oddanych",373
"3","Liczba głosów ważnych",301
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.96
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",64.45
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.97
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",6.98
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.66
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.33
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.33
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.33
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.33
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.33
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1
