"","komitet","procent"
"1","Liczba wyborców",1199
"2","Liczba kart oddanych",750
"3","Liczba głosów ważnych",569
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.41
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",46.92
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.35
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.38
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.8
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.05
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.11
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.76
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.88
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.35
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.99
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.05
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.58
