"","komitet","procent"
"1","Liczba wyborców",1411
"2","Liczba kart oddanych",554
"3","Liczba głosów ważnych",437
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.7
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",45.77
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",18.76
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.22
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.46
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.46
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.69
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.14
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.46
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.37
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.23
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.46
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.23
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.46
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.69
