"","komitet","procent"
"1","Liczba wyborców",1837
"2","Liczba kart oddanych",950
"3","Liczba głosów ważnych",809
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.01
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",18.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.62
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.72
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.37
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.99
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.99
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.12
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.62
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.09
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.74
"16","KOMITET WYBORCZY LEWICA",0.74
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.72
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.25
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.99
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.11
