"","komitet","procent"
"1","Liczba wyborców",1488
"2","Liczba kart oddanych",730
"3","Liczba głosów ważnych",695
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.04
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.3
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.43
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.01
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.29
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.32
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.87
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.86
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.72
