"","komitet","procent"
"1","Liczba wyborców",1644
"2","Liczba kart oddanych",966
"3","Liczba głosów ważnych",953
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.34
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",0.73
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.21
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",51.21
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.63
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.89
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.73
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.83
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.05
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.31
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.84
