"","komitet","procent"
"1","Liczba wyborców",1772
"2","Liczba kart oddanych",847
"3","Liczba głosów ważnych",776
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.98
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.21
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",18.81
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.36
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.13
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.9
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.13
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.39
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.64
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.39
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.26
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.64
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
