"","komitet","procent"
"1","Liczba wyborców",2085
"2","Liczba kart oddanych",1225
"3","Liczba głosów ważnych",1114
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.78
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",28.82
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.27
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.61
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.48
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.54
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.72
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.27
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.45
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.72
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.36
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.18
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.27
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.18
