"","komitet","procent"
"1","Liczba wyborców",1581
"2","Liczba kart oddanych",908
"3","Liczba głosów ważnych",769
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.01
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",42.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.26
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.7
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.78
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.39
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.39
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.13
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.13
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.17
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.26
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.13
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.39
