"","komitet","procent"
"1","Liczba wyborców",2187
"2","Liczba kart oddanych",870
"3","Liczba głosów ważnych",795
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.27
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.52
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.63
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.38
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.16
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.63
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.38
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.64
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.64
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.13
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.25
