"","komitet","procent"
"1","Liczba wyborców",1521
"2","Liczba kart oddanych",847
"3","Liczba głosów ważnych",774
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.82
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.71
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.78
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.9
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.68
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.68
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.78
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.49
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.45
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.42
