"","komitet","procent"
"1","Liczba wyborców",2006
"2","Liczba kart oddanych",1150
"3","Liczba głosów ważnych",1056
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.87
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.57
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.29
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.85
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.85
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.09
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.88
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.76
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",6.16
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.85
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.04
