"","komitet","procent"
"1","Liczba wyborców",1290
"2","Liczba kart oddanych",687
"3","Liczba głosów ważnych",563
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",22.74
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.07
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.87
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.71
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.95
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.36
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.6
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.18
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.6
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.36
"16","KOMITET WYBORCZY LEWICA",0.18
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.71
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.89
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.89
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.53
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.42
