"","komitet","procent"
"1","Liczba wyborców",1782
"2","Liczba kart oddanych",798
"3","Liczba głosów ważnych",735
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.37
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",35.51
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.54
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",20.27
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.37
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.95
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.5
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.95
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.14
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.95
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.27
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.09
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.68
