"","komitet","procent"
"1","Liczba wyborców",1517
"2","Liczba kart oddanych",772
"3","Liczba głosów ważnych",611
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.75
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.65
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",12.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.26
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.65
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.16
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.82
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.49
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.98
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.15
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",15.38
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.65
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.29
