"","komitet","procent"
"1","Liczba wyborców",1041
"2","Liczba kart oddanych",548
"3","Liczba głosów ważnych",396
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",54.55
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.26
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.58
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.13
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.26
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.51
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.02
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.51
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.76
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.51
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.25
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.51
