"","komitet","procent"
"1","Liczba wyborców",1783
"2","Liczba kart oddanych",689
"3","Liczba głosów ważnych",649
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.8
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.13
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",33.13
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.15
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.08
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.15
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.15
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.31
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
