"","komitet","procent"
"1","Liczba wyborców",1882
"2","Liczba kart oddanych",619
"3","Liczba głosów ważnych",546
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.88
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.21
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.53
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.37
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.37
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.55
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.92
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.37
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.83
