"","komitet","procent"
"1","Liczba wyborców",1954
"2","Liczba kart oddanych",864
"3","Liczba głosów ważnych",808
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",35.89
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.48
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.62
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.01
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.06
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.11
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.25
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.37
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.35
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.5
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.5
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
