"","komitet","procent"
"1","Liczba wyborców",1448
"2","Liczba kart oddanych",827
"3","Liczba głosów ważnych",654
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.19
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",66.67
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.46
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.35
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.69
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.46
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.61
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.68
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.22
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.22
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.46
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.38
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.31
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.31
