"","komitet","procent"
"1","Liczba wyborców",1609
"2","Liczba kart oddanych",918
"3","Liczba głosów ważnych",740
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",32.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.68
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",12.16
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.54
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",2.3
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.68
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.41
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.35
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.95
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.89
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.68
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.14
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.95
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.27
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.95
