"","komitet","procent"
"1","Liczba wyborców",1909
"2","Liczba kart oddanych",1001
"3","Liczba głosów ważnych",817
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",64.14
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.67
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.12
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.37
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.12
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.37
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.12
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.22
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.24
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.37
