"","komitet","procent"
"1","Liczba wyborców",1755
"2","Liczba kart oddanych",927
"3","Liczba głosów ważnych",878
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.94
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.16
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.34
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.27
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.51
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.68
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.42
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.48
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.16
