"","komitet","procent"
"1","Liczba wyborców",1622
"2","Liczba kart oddanych",682
"3","Liczba głosów ważnych",638
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.24
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.35
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.1
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.6
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.16
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.63
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.1
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.23
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.63
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.35
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.78
