"","komitet","procent"
"1","Liczba wyborców",573
"2","Liczba kart oddanych",352
"3","Liczba głosów ważnych",240
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",43.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.25
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.5
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.67
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.83
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.42
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.92
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.83
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.25
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.42
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.83
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",3.75
