"","komitet","procent"
"1","Liczba wyborców",667
"2","Liczba kart oddanych",305
"3","Liczba głosów ważnych",281
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.37
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",6.41
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.78
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",46.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.15
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.85
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.07
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.63
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.42
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.36
