"","komitet","procent"
"1","Liczba wyborców",299
"2","Liczba kart oddanych",177
"3","Liczba głosów ważnych",147
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.09
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.04
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",66.67
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",0.68
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.68
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.36
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.72
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.68
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.68
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
