"","komitet","procent"
"1","Liczba wyborców",1054
"2","Liczba kart oddanych",577
"3","Liczba głosów ważnych",543
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.94
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.66
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.38
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",33.33
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.92
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.92
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.1
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.24
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.74
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.92
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.92
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.37
