"","komitet","procent"
"1","Liczba wyborców",1394
"2","Liczba kart oddanych",748
"3","Liczba głosów ważnych",710
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.46
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.25
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.56
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.87
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.14
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.11
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.28
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.42
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.63
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.28
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.85
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.42
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
