"","komitet","procent"
"1","Liczba wyborców",791
"2","Liczba kart oddanych",277
"3","Liczba głosów ważnych",252
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.11
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",12.3
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.79
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",25
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",37.7
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.4
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.38
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.4
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.79
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.98
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.79
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.38
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.4
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.79
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.19
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.59
