"","komitet","procent"
"1","Liczba wyborców",1712
"2","Liczba kart oddanych",993
"3","Liczba głosów ważnych",928
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.47
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.94
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",58.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.12
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.22
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.54
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.22
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.75
