"","komitet","procent"
"1","Liczba wyborców",1107
"2","Liczba kart oddanych",567
"3","Liczba głosów ważnych",460
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",3.48
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",33.48
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",1.3
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",54.57
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.87
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.52
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.52
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.3
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.43
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.43
