"","komitet","procent"
"1","Liczba wyborców",1241
"2","Liczba kart oddanych",657
"3","Liczba głosów ważnych",615
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.77
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.81
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.14
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.5
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.98
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.81
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.33
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.14
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.14
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.95
