"","komitet","procent"
"1","Liczba wyborców",1209
"2","Liczba kart oddanych",580
"3","Liczba głosów ważnych",529
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.64
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",0.95
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.28
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.76
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",2.08
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.95
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.84
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.51
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.95
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.89
