"","komitet","procent"
"1","Liczba wyborców",2059
"2","Liczba kart oddanych",913
"3","Liczba głosów ważnych",884
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.49
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.24
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.9
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.61
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.68
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.34
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.45
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.26
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.47
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.36
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.81
