"","komitet","procent"
"1","Liczba wyborców",1799
"2","Liczba kart oddanych",806
"3","Liczba głosów ważnych",753
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.72
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",60.29
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.69
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.4
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.53
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.52
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.32
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.66
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.66
