"","komitet","procent"
"1","Liczba wyborców",1070
"2","Liczba kart oddanych",454
"3","Liczba głosów ważnych",406
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.88
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",8.87
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.74
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",28.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",35.22
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.99
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.48
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.23
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.74
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.99
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.19
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.99
"16","KOMITET WYBORCZY LEWICA",0.25
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.71
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.99
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.49
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",3.94
