"","komitet","procent"
"1","Liczba wyborców",2046
"2","Liczba kart oddanych",1076
"3","Liczba głosów ważnych",807
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.97
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.25
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",46.34
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.5
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.11
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.98
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.5
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.48
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.5
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.86
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.25
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.12
