"","komitet","procent"
"1","Liczba wyborców",1630
"2","Liczba kart oddanych",767
"3","Liczba głosów ważnych",705
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.35
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.85
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.62
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.99
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.28
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.39
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.43
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.84
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.71
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.84
