"","komitet","procent"
"1","Liczba wyborców",1725
"2","Liczba kart oddanych",754
"3","Liczba głosów ważnych",725
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.24
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.69
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",63.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.38
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.52
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.14
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.48
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.76
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.28
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.38
