"","komitet","procent"
"1","Liczba wyborców",1657
"2","Liczba kart oddanych",796
"3","Liczba głosów ważnych",753
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.14
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.46
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.06
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.68
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.36
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.53
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.53
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.66
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.93
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.53
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.86
