"","komitet","procent"
"1","Liczba wyborców",1130
"2","Liczba kart oddanych",472
"3","Liczba głosów ważnych",444
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.15
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.45
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.26
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.63
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.23
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.23
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.45
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.7
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.45
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.13
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.45
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.35
