"","komitet","procent"
"1","Liczba wyborców",1578
"2","Liczba kart oddanych",710
"3","Liczba głosów ważnych",665
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.46
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.05
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.65
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.91
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.2
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.3
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.9
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.41
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.6
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.75
