"","komitet","procent"
"1","Liczba wyborców",1716
"2","Liczba kart oddanych",711
"3","Liczba głosów ważnych",662
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.2
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",0.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.3
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.6
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",8.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.76
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.27
