"","komitet","procent"
"1","Liczba wyborców",1271
"2","Liczba kart oddanych",570
"3","Liczba głosów ważnych",529
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.01
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.78
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.42
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.54
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.57
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.21
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.76
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.19
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.57
