"","komitet","procent"
"1","Liczba wyborców",1372
"2","Liczba kart oddanych",694
"3","Liczba głosów ważnych",671
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.8
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.53
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.04
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.42
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.6
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.6
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.75
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.47
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.79
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.38
